state,county,2010_population,2015_population
Louisiana,Jefferson Davis,31594,31431
Mississippi,Jefferson Davis,12487,11632
Arkansas,Johnson,25540,26094
Georgia,Johnson,9980,9708
Illinois,Johnson,12582,12777
Indiana,Johnson,139654,148962
Iowa,Johnson,130882,144943
Kansas,Johnson,544179,579684
Kentucky,Johnson,23356,23128
Missouri,Johnson,52595,53496
Nebraska,Johnson,5217,5239
Tennessee,Johnson,18244,17842
Texas,Johnson,150934,159345
Wyoming,Johnson,8569,8611
North Carolina,Johnston,168878,185104
Oklahoma,Johnston,10957,10967
Georgia,Jones,28669,28441
Iowa,Jones,20638,20433
Mississippi,Jones,67761,68629
North Carolina,Jones,10153,9777
South Dakota,Jones,1006,917
Texas,Jones,20202,19966
Alaska,Juneau,31275,32615
Wisconsin,Juneau,26664,26307
Illinois,Kane,515269,528760
Utah,Kane,7125,7039
Illinois,Kendall,114736,122878
Texas,Kendall,33410,39938
Delaware,Kent,162310,173128
Maryland,Kent,20197,19715
Michigan,Kent,602622,637164
Rhode Island,Kent,166158,163747
Texas,Kent,808,747
Texas,King,286,282
Washington,King,1931249,2126178
California,Kings,152982,150085
New York,Kings,2504700,2608794
Colorado,Kiowa,1398,1384
Kansas,Kiowa,2553,2570
Oklahoma,Kiowa,9446,9116
Illinois,Knox,52919,51370
Indiana,Knox,38440,37760
Kentucky,Knox,31883,31465
Maine,Knox,39736,39786
Missouri,Knox,4131,3907
Nebraska,Knox,8701,8468
Ohio,Knox,60921,61001
Tennessee,Knox,432226,451297
Texas,Knox,3719,3792
Arkansas,Lafayette,7645,7010
Florida,Lafayette,8870,8724
Louisiana,Lafayette,221578,239332
Mississippi,Lafayette,47351,52736
Missouri,Lafayette,33381,32624
Wisconsin,Lafayette,16836,16791
California,Lake,64665,64260
Colorado,Lake,7310,7442
Florida,Lake,297052,325154
Illinois,Lake,703462,704611
Indiana,Lake,496005,487908
Michigan,Lake,11539,11697
Minnesota,Lake,10866,10541
Montana,Lake,28746,29457
Ohio,Lake,230041,229836
Oregon,Lake,7895,7779
South Dakota,Lake,11200,12334
Tennessee,Lake,7832,7602
Alabama,Lamar,14564,13927
Georgia,Lamar,18317,18236
Mississippi,Lamar,55658,60966
Texas,Lamar,49793,49373
Nebraska,Lancaster,285407,306096
Pennsylvania,Lancaster,519445,535811
South Carolina,Lancaster,76652,86261
Virginia,Lancaster,11391,10825
Kansas,Lane,1750,1630
Oregon,Lane,351715,361946
Illinois,LaSalle,113924,111019
Louisiana,LaSalle,14890,14979
Alabama,Lauderdale,92709,92459
Mississippi,Lauderdale,80261,78348
Tennessee,Lauderdale,27815,26903
Georgia,Laurens,48434,47486
South Carolina,Laurens,66537,66421
Alabama,Lawrence,34339,33135
Arkansas,Lawrence,17415,16696
Illinois,Lawrence,16833,16465
Indiana,Lawrence,46134,45568
Kentucky,Lawrence,15860,15861
Mississippi,Lawrence,12929,12691
Missouri,Lawrence,38634,37981
Ohio,Lawrence,62450,60923
Pennsylvania,Lawrence,91108,88122
South Dakota,Lawrence,24097,24827
Tennessee,Lawrence,41869,42592
Alabama,Lee,140247,156954
Arkansas,Lee,10424,9672
Florida,Lee,618754,699644
Georgia,Lee,28298,29173
Illinois,Lee,36031,34521
Iowa,Lee,35862,34894
Kentucky,Lee,7887,6746
Mississippi,Lee,82910,84740
North Carolina,Lee,57866,59371
South Carolina,Lee,19220,17809
Texas,Lee,16612,16868
Virginia,Lee,25587,24595
Florida,Leon,275487,285904
Texas,Leon,16801,17028
Idaho,Lewis,3821,3791
Kentucky,Lewis,13870,13663
Missouri,Lewis,10211,10138
New York,Lewis,27087,26827
Tennessee,Lewis,12161,11875
Washington,Lewis,75455,75437
West Virginia,Lewis,16372,16440
Florida,Liberty,8365,8409
Georgia,Liberty,63453,61611
Montana,Liberty,2339,2391
Texas,Liberty,75643,79537
Alabama,Limestone,82782,91565
Texas,Limestone,23384,23442
Arkansas,Lincoln,14134,13866
Colorado,Lincoln,5467,5543
Georgia,Lincoln,7996,7722
Idaho,Lincoln,5208,5307
Kansas,Lincoln,3241,3142
Kentucky,Lincoln,24742,24342
Louisiana,Lincoln,46735,47434
Maine,Lincoln,34457,33784
Minnesota,Lincoln,5896,5710
Mississippi,Lincoln,34869,34522
Missouri,Lincoln,52566,54567
Montana,Lincoln,19687,19060
Nebraska,Lincoln,36288,35501
Nevada,Lincoln,5345,5136
New Mexico,Lincoln,20497,19352
North Carolina,Lincoln,78265,80607
Oklahoma,Lincoln,34273,34928
Oregon,Lincoln,46034,46999
South Dakota,Lincoln,44828,52959
Tennessee,Lincoln,33361,33609
Washington,Lincoln,10570,10285
West Virginia,Lincoln,21720,21279
Wisconsin,Lincoln,28743,27867
Wyoming,Lincoln,18106,18747
Iowa,Linn,211226,220271
Kansas,Linn,9656,9580
Missouri,Linn,12761,12293
Oregon,Linn,116672,120236
Illinois,Livingston,38950,36605
Kentucky,Livingston,9519,9289
Louisiana,Livingston,128026,137116
Michigan,Livingston,180967,187171
Missouri,Livingston,15195,14938
New York,Livingston,65393,64344
Arkansas,Logan,22353,21729
Colorado,Logan,22709,22472
Illinois,Logan,30305,29284
Kansas,Logan,2756,2787
Kentucky,Logan,26835,26746
Nebraska,Logan,763,791
North Dakota,Logan,1990,1927
Ohio,Logan,45858,45250
Oklahoma,Logan,41848,45346
West Virginia,Logan,36743,34441
Iowa,Louisa,11387,11285
Virginia,Louisa,33153,34611
Alabama,Lowndes,11299,10350
Georgia,Lowndes,109233,113342
Mississippi,Lowndes,59779,59697
Iowa,Lucas,8898,8610
Ohio,Lucas,441815,433633
Iowa,Lyon,11581,11747
Kansas,Lyon,33690,33133
Kentucky,Lyon,8314,8474
Minnesota,Lyon,25857,25826
Nevada,Lyon,51980,51974
Alabama,Macon,21452,19296
Georgia,Macon,14740,13688
Illinois,Macon,110768,107343
Missouri,Macon,15566,15284
North Carolina,Macon,33922,34090
Tennessee,Macon,22248,23076
Alabama,Madison,334811,352977
Arkansas,Madison,15717,15705
Florida,Madison,19224,18478
Georgia,Madison,28120,28419
Idaho,Madison,37536,37989
Illinois,Madison,269282,265996
Indiana,Madison,131636,129388
Iowa,Madison,15679,15720
Kentucky,Madison,82916,88212
Louisiana,Madison,12093,11554
Mississippi,Madison,95203,102453
Missouri,Madison,12226,12178
Montana,Madison,7691,8026
Nebraska,Madison,34876,34999
New York,Madison,73442,71636
North Carolina,Madison,20764,21146
Ohio,Madison,43435,44139
Tennessee,Madison,98294,97569
Texas,Madison,13664,13968
Virginia,Madison,13308,13047
Alabama,Marion,30776,30119
Arkansas,Marion,16653,16215
Florida,Marion,331298,342182
Georgia,Marion,8742,8558
Illinois,Marion,39437,38359
Indiana,Marion,903393,939843
Iowa,Marion,33309,33109
Kansas,Marion,12660,12053
Kentucky,Marion,19820,19212
Mississippi,Marion,27088,25412
Missouri,Marion,28781,28697
Ohio,Marion,66501,65431
Oregon,Marion,315335,329060
South Carolina,Marion,33062,31770
Tennessee,Marion,28237,28397
Texas,Marion,10546,10136
West Virginia,Marion,56418,56761
Michigan,Marquette,67077,67326
Wisconsin,Marquette,15404,15119
Alabama,Marshall,93019,94585
Illinois,Marshall,12640,11925
Indiana,Marshall,47051,46733
Iowa,Marshall,40648,40352
Kansas,Marshall,10117,9845
Kentucky,Marshall,31448,31059
Minnesota,Marshall,9439,9409
Mississippi,Marshall,37144,35891
Oklahoma,Marshall,15840,16266
South Dakota,Marshall,4656,4821
Tennessee,Marshall,30617,31590
West Virginia,Marshall,33107,32215
Florida,Martin,146318,155559
Indiana,Martin,10334,10216
Kentucky,Martin,12929,12285
Minnesota,Martin,20840,20036
North Carolina,Martin,24505,23262
Texas,Martin,4799,5646
Illinois,Mason,14666,13863
Kentucky,Mason,17490,17050
Michigan,Mason,28705,28738
Texas,Mason,4012,4057
Washington,Mason,60699,60991
West Virginia,Mason,27324,27089
North Carolina,McDowell,44996,44967
West Virginia,McDowell,22113,19762
Illinois,McHenry,308760,307572
North Dakota,McHenry,5395,5975
Georgia,McIntosh,14333,14031
North Dakota,McIntosh,2809,2717
Oklahoma,McIntosh,20252,19817
Illinois,McLean,169572,173141
Kentucky,McLean,9531,9395
North Dakota,McLean,8962,9664
Kansas,McPherson,29180,28648
Nebraska,McPherson,539,489
South Dakota,McPherson,2459,2397
Kansas,Meade,4575,4301
Kentucky,Meade,28602,27725
South Dakota,Meade,25434,26770
North Carolina,Mecklenburg,919628,1033238
Virginia,Mecklenburg,32727,30922
Ohio,Medina,172332,176126
Texas,Medina,46006,48402
Ohio,Meigs,23770,23180
Tennessee,Meigs,11753,11804
Illinois,Menard,12705,12356
Texas,Menard,2242,2134
Michigan,Menominee,24029,23476
Wisconsin,Menominee,4232,4509
Illinois,Mercer,16434,15746
Kentucky,Mercer,21331,21377
Missouri,Mercer,3785,3660
New Jersey,Mercer,366513,368124
North Dakota,Mercer,8424,8786
Ohio,Mercer,40814,40723
Pennsylvania,Mercer,116638,113624
West Virginia,Mercer,62264,61133
Indiana,Miami,36903,36004
Kansas,Miami,32787,32758
Ohio,Miami,102506,104075
Connecticut,Middlesex,165676,163724
Massachusetts,Middlesex,1503085,1585432
New Jersey,Middlesex,809858,825546
Virginia,Middlesex,10959,10686
Michigan,Midland,83629,83662
Texas,Midland,136872,162328
Arkansas,Miller,43462,43792
Georgia,Miller,6125,5848
Missouri,Miller,24748,24872
Iowa,Mills,15059,14882
Texas,Mills,4936,4889
Colorado,Mineral,712,744
Montana,Mineral,4223,4192
Nevada,Mineral,4772,4420
West Virginia,Mineral,28212,27417
Arkansas,Mississippi,46480,43729
Missouri,Mississippi,14358,13965
Georgia,Mitchell,23498,22449
Iowa,Mitchell,10776,10676
Kansas,Mitchell,6373,6294
North Carolina,Mitchell,15579,15071
Texas,Mitchell,9403,8856
Alabama,Monroe,23068,21717
Arkansas,Monroe,8149,7452
Florida,Monroe,73090,76648
Georgia,Monroe,26424,26708
Illinois,Monroe,32957,33739
Indiana,Monroe,137974,144247
Iowa,Monroe,7970,7924
Kentucky,Monroe,10963,10618
Michigan,Monroe,152021,149353
Mississippi,Monroe,36989,35823
Missouri,Monroe,8840,8637
New York,Monroe,744344,745577
Ohio,Monroe,14642,14253
Pennsylvania,Monroe,169842,166481
Tennessee,Monroe,44519,45625
West Virginia,Monroe,13502,13573
Wisconsin,Monroe,44673,45322
Alabama,Montgomery,229363,227279
Arkansas,Montgomery,9487,9027
Georgia,Montgomery,9123,8942
Illinois,Montgomery,30104,29192
Indiana,Montgomery,38124,38243
Iowa,Montgomery,10740,10149
Kansas,Montgomery,35471,33436
Kentucky,Montgomery,26499,27576
Maryland,Montgomery,971777,1032814
Mississippi,Montgomery,10925,10195
Missouri,Montgomery,12236,11572
New York,Montgomery,50219,49564
North Carolina,Montgomery,27798,27438
Ohio,Montgomery,535153,531777
Pennsylvania,Montgomery,799874,817180
Tennessee,Montgomery,172331,192398
Texas,Montgomery,455746,535753
Virginia,Montgomery,94392,97317
North Carolina,Moore,88247,94013
Tennessee,Moore,6362,6261
Texas,Moore,21904,21725
Alabama,Morgan,119490,119257
Colorado,Morgan,28159,28252
Georgia,Morgan,17868,17948
Illinois,Morgan,35547,34673
Indiana,Morgan,68894,69559
Kentucky,Morgan,13923,13267
Missouri,Morgan,20565,20065
Ohio,Morgan,15054,14735
Tennessee,Morgan,21987,21494
Utah,Morgan,9469,11039
West Virginia,Morgan,17541,17490
Kansas,Morris,5923,5628
New Jersey,Morris,492276,494259
Texas,Morris,12934,12370
Ohio,Morrow,34827,34943
Oregon,Morrow,11173,11130
Kansas,Morton,3233,2953
North Dakota,Morton,27471,30249
Georgia,Murray,39628,39430
Minnesota,Murray,8725,8394
Oklahoma,Murray,13488,13860
Florida,Nassau,73314,77951
New York,Nassau,1339532,1354840
Kentucky,Nelson,43437,45114
North Dakota,Nelson,3126,2914
Virginia,Nelson,15020,14760
Kansas,Nemaha,10178,10094
Nebraska,Nemaha,7248,7005
Arkansas,Nevada,8997,8508
California,Nevada,98764,98676
Arkansas,Newton,8330,7846
Georgia,Newton,99958,104884
Indiana,Newton,14244,13971
Mississippi,Newton,21720,21569
Missouri,Newton,58114,58138
Texas,Newton,14445,14158
Kentucky,Nicholas,7135,7059
West Virginia,Nicholas,26233,25551
Indiana,Noble,47536,47515
Ohio,Noble,14645,14467
Oklahoma,Noble,11561,11550
North Carolina,Northampton,22099,20533
Pennsylvania,Northampton,297735,300090
Virginia,Northampton,12389,12080
Pennsylvania,Northumberland,94528,92878
Virginia,Northumberland,12330,12241
Georgia,Oconee,32808,35853
South Carolina,Oconee,74273,75863
Indiana,Ohio,6128,5877
Kentucky,Ohio,23842,24021
West Virginia,Ohio,44443,42969
Oklahoma,Oklahoma,718633,777373
Kentucky,Oldham,60316,64556
Texas,Oldham,2052,2064
Idaho,Oneida,4286,4248
New York,Oneida,234878,231264
Wisconsin,Oneida,35998,35303
California,Orange,3010232,3149280
Florida,Orange,1145956,1291301
Indiana,Orange,19840,19634
New York,Orange,372813,375803
North Carolina,Orange,133801,141298
Texas,Orange,81837,83955
Vermont,Orange,28936,28887
Virginia,Orange,33481,35178
Missouri,Oregon,10881,10850
Louisiana,Orleans,343829,389742
New York,Orleans,42883,41481
Vermont,Orleans,27231,27034
Kansas,Osage,16295,15865
Missouri,Osage,13878,13538
Oklahoma,Osage,47472,47338
Florida,Osceola,268685,323736
Iowa,Osceola,6462,6160
Michigan,Osceola,23528,23177
Colorado,Otero,18831,18182
New Mexico,Otero,63797,64768
Michigan,Otsego,24164,24203
New York,Otsego,62259,60504
Kansas,Ottawa,6091,5934
Michigan,Ottawa,263801,280859
Ohio,Ottawa,41428,40754
Oklahoma,Ottawa,31848,31862
Arkansas,Ouachita,26120,24316
Louisiana,Ouachita,153720,156880
Indiana,Owen,21575,20826
Kentucky,Owen,10841,10736
Iowa,Page,15932,15462
Virginia,Page,24042,23662
Mississippi,Panola,34707,34202
Texas,Panola,23796,23667
Colorado,Park,16206,16726
Montana,Park,15636,16003
Wyoming,Park,28205,28928
Georgia,Paulding,142324,151649
Ohio,Paulding,19614,18959
Kansas,Pawnee,6973,6769
Nebraska,Pawnee,2773,2691
Oklahoma,Pawnee,16577,16439
Kentucky,Pendleton,14877,14487
West Virginia,Pendleton,7695,7103
Minnesota,Pennington,13930,14237
South Dakota,Pennington,100948,108088
Nebraska,Perkins,2970,2932
South Dakota,Perkins,2982,2984
Alabama,Perry,10591,9640
Arkansas,Perry,10445,10307
Illinois,Perry,22350,21521
Indiana,Perry,19338,19310
Kentucky,Perry,28712,27373
Mississippi,Perry,12250,12071
Missouri,Perry,18971,19068
Ohio,Perry,36058,35967
Pennsylvania,Perry,45969,45849
Tennessee,Perry,7915,7852
Missouri,Phelps,45156,44766
Nebraska,Phelps,9188,9217
Arkansas,Phillips,21757,19546
Colorado,Phillips,4442,4327
Kansas,Phillips,5642,5420
Montana,Phillips,4253,4146
Alabama,Pickens,19746,20776
Georgia,Pickens,29431,30136
South Carolina,Pickens,119224,121500
Georgia,Pierce,18758,19094
Nebraska,Pierce,7266,7190
North Dakota,Pierce,4357,4273
Washington,Pierce,795225,843778
Wisconsin,Pierce,41019,41069
Alabama,Pike,32899,33496
Arkansas,Pike,11291,10837
Georgia,Pike,17869,17925
Illinois,Pike,16430,15795
Indiana,Pike,12845,12407
Kentucky,Pike,65024,61781
Mississippi,Pike,40404,39890
Missouri,Pike,18516,18409
Ohio,Pike,28709,28117
Pennsylvania,Pike,57369,55322
Missouri,Platte,89322,96445
Nebraska,Platte,32237,32876
Wyoming,Platte,8667,8798
Iowa,Plymouth,24986,24899
Massachusetts,Plymouth,494919,509221
Iowa,Pocahontas,7310,6967
West Virginia,Pocahontas,8719,8573
Arkansas,Polk,20662,20194
Florida,Polk,602095,648523
Georgia,Polk,41475,41207
Iowa,Polk,430640,467304
Minnesota,Polk,31600,31497
Missouri,Polk,31137,31256
Nebraska,Polk,5406,5171
North Carolina,Polk,20510,20414
Oregon,Polk,75403,78962
Tennessee,Polk,16825,16769
Texas,Polk,45413,46613
Wisconsin,Polk,44205,43218
Mississippi,Pontotoc,29957,30857
Oklahoma,Pontotoc,37492,38336
Arkansas,Pope,61754,63608
Illinois,Pope,4470,4291
Minnesota,Pope,10995,10936
Ohio,Portage,161419,162594
Wisconsin,Portage,70019,70520
Kansas,Pottawatomie,21604,23123
Oklahoma,Pottawatomie,69442,71479
Pennsylvania,Potter,17457,17086
South Dakota,Potter,2329,2295
Texas,Potter,121073,121272
Kentucky,Powell,12613,12226
Montana,Powell,7027,6799
Arkansas,Prairie,8715,8299
Montana,Prairie,1179,1140
Arkansas,Pulaski,382748,393576
Georgia,Pulaski,12010,11395
Illinois,Pulaski,6161,5657
Indiana,Pulaski,13402,12804
Kentucky,Pulaski,63063,63862
Missouri,Pulaski,52274,53204
Virginia,Pulaski,34872,34351
Florida,Putnam,74364,71939
Georgia,Putnam,21218,21307
Illinois,Putnam,6006,5727
Indiana,Putnam,37963,37382
Missouri,Putnam,4979,4860
New York,Putnam,99710,99185
Ohio,Putnam,34499,34026
Tennessee,Putnam,72321,75074
West Virginia,Putnam,55486,56592
Georgia,Quitman,2513,2275
Mississippi,Quitman,8223,7511
Minnesota,Ramsey,508640,536631
North Dakota,Ramsey,11451,11664
Alabama,Randolph,22913,22594
Arkansas,Randolph,17969,17437
Georgia,Randolph,7719,7150
Illinois,Randolph,33476,32806
Indiana,Randolph,26171,25138
Missouri,Randolph,25414,25041
North Carolina,Randolph,141752,142575
West Virginia,Randolph,29405,29212
Louisiana,Red River,9091,8711
Texas,Red River,12860,12345
Minnesota,Renville,15730,14798
North Dakota,Renville,2470,2551
Kansas,Rice,10083,9925
Minnesota,Rice,64142,65323
Illinois,Richland,16233,15957
Louisiana,Richland,20725,20546
Montana,Richland,9746,11902
North Dakota,Richland,16321,16286
Ohio,Richland,124475,121688
South Carolina,Richland,384504,406008
Wisconsin,Richland,18021,17574
Georgia,Richmond,200549,201451
New York,Richmond,468730,472349
North Carolina,Richmond,46639,45429
Virginia,Richmond,9254,8781
Indiana,Ripley,28818,28372
Missouri,Ripley,14100,13788
Tennessee,Roane,54181,52770
West Virginia,Roane,14926,14375
South Dakota,Roberts,10149,10209
Texas,Roberts,929,910
Kentucky,Robertson,2282,2134
Tennessee,Robertson,66283,68687
Texas,Robertson,16622,16698
Minnesota,Rock,9687,9442
Nebraska,Rock,1526,1417
Wisconsin,Rock,160331,161006
New Hampshire,Rockingham,295223,302691
North Carolina,Rockingham,93643,91657
Virginia,Rockingham,76314,78445
Montana,Roosevelt,10425,11417
New Mexico,Roosevelt,19846,19137
Kentucky,Rowan,23333,24642
North Carolina,Rowan,138428,138497
Indiana,Rush,17392,16708
Kansas,Rush,3307,3098
Texas,Rusk,53330,52965
Wisconsin,Rusk,14755,14124
Alabama,Russell,52947,58844
Kansas,Russell,6970,7044
Kentucky,Russell,17565,17685
Virginia,Russell,28897,27854
North Carolina,Rutherford,67810,66375
Tennessee,Rutherford,262604,298197
Louisiana,Sabine,24233,24205
Texas,Sabine,10834,10440
Arkansas,Saline,107118,116390
Illinois,Saline,24913,24495
Kansas,Saline,55606,55429
Missouri,Saline,23370,23226
Nebraska,Saline,14200,14196
Colorado,San Juan,699,689
New Mexico,San Juan,130044,128246
Utah,San Juan,14746,15239
Washington,San Juan,15769,16198
Colorado,San Miguel,7359,7836
New Mexico,San Miguel,29393,28215
Arizona,Santa Cruz,47420,46542
California,Santa Cruz,262382,273503
Illinois,Schuyler,7544,7151
Missouri,Schuyler,4431,4500
New York,Schuyler,18343,18027
Missouri,Scotland,4843,4821
North Carolina,Scotland,36157,35321
Arkansas,Scott,11233,10561
Illinois,Scott,5355,5110
Indiana,Scott,24181,23660
Iowa,Scott,165224,171903
Kansas,Scott,4936,4948
Kentucky,Scott,47173,52155
Minnesota,Scott,129928,141329
Mississippi,Scott,28264,28432
Missouri,Scott,39191,39007
Tennessee,Scott,22228,21893
Virginia,Scott,23177,22296
Colorado,Sedgwick,2379,2373
Kansas,Sedgwick,498365,511083
Florida,Seminole,422718,448318
Georgia,Seminole,8729,8565
Oklahoma,Seminole,25482,25399
New York,Seneca,35251,34801
Ohio,Seneca,56745,55650
Arkansas,Sevier,17058,17262
Tennessee,Sevier,89889,95417
Utah,Sevier,20802,20858
Kansas,Seward,22952,23273
Nebraska,Seward,16750,16994
Alabama,Shelby,195085,208959
Illinois,Shelby,22363,21819
Indiana,Shelby,44436,44341
Iowa,Shelby,12167,11789
Kentucky,Shelby,42074,45787
Missouri,Shelby,6373,6101
Ohio,Shelby,49423,49030
Tennessee,Shelby,927644,937067
Texas,Shelby,25448,25373
Kansas,Sheridan,2556,2475
Montana,Sheridan,3384,3673
Nebraska,Sheridan,5469,5216
North Dakota,Sheridan,1321,1311
Wyoming,Sheridan,29116,29883
Kansas,Sherman,6010,5964
Nebraska,Sherman,3152,3036
Oregon,Sherman,1765,1689
Texas,Sherman,3034,3058
California,Sierra,3240,2985
New Mexico,Sierra,11988,11236
Kentucky,Simpson,17327,17901
Mississippi,Simpson,27503,27169
Iowa,Sioux,33704,34754
Nebraska,Sioux,1311,1276
North Dakota,Sioux,4153,4377
Kansas,Smith,3853,3689
Mississippi,Smith,16491,16079
Tennessee,Smith,19166,19308
Texas,Smith,209714,222390
Maine,Somerset,52228,50729
Maryland,Somerset,26470,25687
New Jersey,Somerset,323444,329626
Pennsylvania,Somerset,77742,75383
Indiana,Spencer,20952,20640
Kentucky,Spencer,17061,18072
Louisiana,St Charles,52780,52572
Missouri,St Charles,360485,384978
Alabama,St Clair,83593,86546
Illinois,St Clair,270056,264858
Michigan,St Clair,163040,159700
Missouri,St Clair,9805,9411
Indiana,St Joseph,266931,268361
Michigan,St Joseph,61295,60804
Minnesota,St Louis,200226,200296
Missouri,St Louis,998954,1001109
Kansas,Stafford,4437,4215
Virginia,Stafford,128961,140868
Kansas,Stanton,2235,2070
Nebraska,Stanton,6129,5944
Illinois,Stark,5994,5505
North Dakota,Stark,24199,31861
Ohio,Stark,375586,374715
Minnesota,Steele,36576,36599
North Dakota,Steele,1975,1915
Georgia,Stephens,26175,25446
Oklahoma,Stephens,45048,44576
Texas,Stephens,9630,9385
Indiana,Steuben,34185,34469
New York,Steuben,98990,97551
Kansas,Stevens,5724,5789
Minnesota,Stevens,9726,9874
Washington,Stevens,43531,43553
Georgia,Stewart,6058,5973
Tennessee,Stewart,13324,13187
Arkansas,Stone,12394,12386
Mississippi,Stone,17786,18271
Missouri,Stone,32202,31307
Massachusetts,Suffolk,722023,782591
New York,Suffolk,1493350,1491967
Indiana,Sullivan,21475,20874
Missouri,Sullivan,6714,6366
New Hampshire,Sullivan,43742,43148
New York,Sullivan,77547,74832
Pennsylvania,Sullivan,6428,6267
Tennessee,Sullivan,156823,156199
Colorado,Summit,27994,30045
Ohio,Summit,541781,541788
Utah,Summit,36324,39640
Kansas,Sumner,24132,23417
Tennessee,Sumner,160645,175326
Alabama,Sumter,13763,13206
Florida,Sumter,93420,117076
Georgia,Sumter,32819,30696
South Carolina,Sumter,107456,107151
North Carolina,Surry,73673,71998
Virginia,Surry,7058,6671
Delaware,Sussex,197145,214636
New Jersey,Sussex,149265,143004
Virginia,Sussex,12087,11692
Georgia,Talbot,6865,6498
Maryland,Talbot,37782,37413
Florida,Taylor,22570,22355
Georgia,Taylor,8906,8243
Iowa,Taylor,6317,6246
Kentucky,Taylor,24512,25586
Texas,Taylor,131506,136133
West Virginia,Taylor,16895,16930
Wisconsin,Taylor,20689,20314
Illinois,Tazewell,135394,134302
Virginia,Tazewell,45078,42905
Georgia,Terrell,9315,9013
Texas,Terrell,984,867
Idaho,Teton,10170,10725
Montana,Teton,6073,6062
Wyoming,Teton,21294,23047
Missouri,Texas,26008,25660
Oklahoma,Texas,20640,21446
Georgia,Thomas,44720,44796
Kansas,Thomas,7900,7895
Nebraska,Thomas,647,693
Nebraska,Thurston,6940,7073
Washington,Thurston,252264,267978
New York,Tioga,51125,49355
Pennsylvania,Tioga,41981,41519
Indiana,Tipton,15936,15249
Tennessee,Tipton,61081,61533
Kentucky,Todd,12460,12447
Minnesota,Todd,24895,24328
South Dakota,Todd,9612,10041
California,Trinity,13786,13094
Texas,Trinity,14585,14539
Georgia,Turner,8930,7982
South Dakota,Turner,8347,8131
Texas,Tyler,21766,21370
West Virginia,Tyler,9208,8958
Arkansas,Union,41639,40086
Florida,Union,15535,15265
Georgia,Union,21356,22007
Illinois,Union,17808,17284
Indiana,Union,7516,7185
Iowa,Union,12534,12430
Kentucky,Union,15007,14951
Louisiana,Union,22721,22487
Mississippi,Union,27134,28311
New Jersey,Union,536499,549905
New Mexico,Union,4549,4163
North Carolina,Union,201292,221949
Ohio,Union,52300,54388
Oregon,Union,25748,25703
Pennsylvania,Union,44947,45519
South Carolina,Union,28961,27743
South Dakota,Union,14399,14925
Tennessee,Union,19109,19159
Texas,Upshur,39309,40317
West Virginia,Upshur,24254,24727
Utah,Utah,516564,572667
Idaho,Valley,9862,10043
Montana,Valley,7369,7621
Nebraska,Valley,4260,4168
Arkansas,Van Buren,17295,16808
Iowa,Van Buren,7570,7296
Michigan,Van Buren,76258,75060
Tennessee,Van Buren,5548,5695
Illinois,Vermilion,81625,79170
Louisiana,Vermilion,57999,59918
Louisiana,Vernon,52334,51431
Missouri,Vernon,21159,20758
Wisconsin,Vernon,29773,30317
Illinois,Wabash,11947,11624
Indiana,Wabash,32888,31860
Alabama,Walker,67023,64931
Georgia,Walker,68756,68537
Texas,Walker,67861,70836
Florida,Walton,55043,63066
Georgia,Walton,83768,88333
South Dakota,Walworth,5438,5404
