state,county,2010_population,2015_population
Wisconsin,Walworth,102228,102475
North Dakota,Ward,61675,70703
Texas,Ward,10658,11631
Georgia,Warren,5834,5374
Illinois,Warren,17707,17455
Indiana,Warren,8508,8270
Iowa,Warren,46225,48468
Kentucky,Warren,113792,124122
Mississippi,Warren,48773,47481
Missouri,Warren,32513,33532
New Jersey,Warren,108692,106742
New York,Warren,65707,64420
North Carolina,Warren,20972,20207
Ohio,Warren,212693,223864
Pennsylvania,Warren,41815,40334
Tennessee,Warren,39839,40262
Virginia,Warren,37575,38716
Alabama,Washington,17581,16832
Arkansas,Washington,203065,224434
Colorado,Washington,4814,4786
Florida,Washington,24896,24552
Georgia,Washington,21187,20736
Idaho,Washington,10198,9891
Illinois,Washington,14716,14262
Indiana,Washington,28262,27774
Iowa,Washington,21704,22145
Kansas,Washington,5799,5568
Kentucky,Washington,11717,12007
Louisiana,Washington,47168,46358
Maine,Washington,32856,31776
Maryland,Washington,147430,149068
Minnesota,Washington,238136,250386
Mississippi,Washington,51137,47959
Missouri,Washington,25195,24793
Nebraska,Washington,20234,19917
New York,Washington,63216,62246
North Carolina,Washington,13228,12247
Ohio,Washington,61778,61020
Oklahoma,Washington,50976,52091
Oregon,Washington,529710,572664
Pennsylvania,Washington,207820,207718
Rhode Island,Washington,126979,126185
Tennessee,Washington,122979,126137
Texas,Washington,33718,34836
Utah,Washington,138115,154650
Vermont,Washington,59534,58652
Virginia,Washington,54876,54268
Wisconsin,Washington,131887,133906
Georgia,Wayne,30099,29430
Illinois,Wayne,16760,16517
Indiana,Wayne,68917,66972
Iowa,Wayne,6403,6359
Kentucky,Wayne,20813,20609
Michigan,Wayne,1820584,1764872
Mississippi,Wayne,20747,20497
Missouri,Wayne,13521,13431
Nebraska,Wayne,9595,9366
New York,Wayne,93772,91291
North Carolina,Wayne,122623,124342
Ohio,Wayne,114520,116214
Pennsylvania,Wayne,52822,51823
Tennessee,Wayne,17021,16767
Utah,Wayne,2778,2690
West Virginia,Wayne,42481,41211
Georgia,Webster,2799,2631
Iowa,Webster,38013,37066
Kentucky,Webster,13621,13155
Louisiana,Webster,41207,40061
Mississippi,Webster,10253,9873
Missouri,Webster,36202,37604
Nebraska,Webster,3812,3592
West Virginia,Webster,9154,8635
Indiana,Wells,27636,27851
North Dakota,Wells,4207,4095
Pennsylvania,Westmoreland,365169,356923
Virginia,Westmoreland,17454,17549
Georgia,Wheeler,7421,7911
Nebraska,Wheeler,818,779
Oregon,Wheeler,1441,1326
Texas,Wheeler,5410,5658
Arkansas,White,77076,78915
Georgia,White,27144,28387
Illinois,White,14665,14204
Indiana,White,24643,24274
Tennessee,White,25841,26342
Indiana,Whitley,33292,33444
Kentucky,Whitley,35637,36109
Kansas,Wichita,2234,2167
Texas,Wichita,131500,130961
Alabama,Wilcox,11670,10896
Georgia,Wilcox,9255,9024
Georgia,Wilkes,10593,9911
North Carolina,Wilkes,69340,68298
Georgia,Wilkinson,9563,9080
Mississippi,Wilkinson,9878,9089
North Dakota,Williams,22398,35301
Ohio,Williams,37642,37007
Illinois,Williamson,66357,67428
Tennessee,Williamson,183182,211605
Texas,Williamson,422679,507133
Kansas,Wilson,9409,8845
North Carolina,Wilson,81234,81240
Tennessee,Wilson,113993,128536
Texas,Wilson,42918,47178
Connecticut,Windham,118428,116487
Vermont,Windham,44513,43246
Illinois,Winnebago,295266,287148
Iowa,Winnebago,10866,10603
Wisconsin,Winnebago,166994,169246
Alabama,Winston,24484,23930
Mississippi,Winston,19198,18447
Texas,Wise,59127,62857
Virginia,Wise,41452,39572
Ohio,Wood,125488,129285
Texas,Wood,41964,43117
West Virginia,Wood,86956,86335
Wisconsin,Wood,74749,73350
Illinois,Woodford,38664,38930
Kentucky,Woodford,24939,25860
Maryland,Worcester,51454,51456
Massachusetts,Worcester,798552,818117
Georgia,Worth,21679,20688
Iowa,Worth,7598,7503
Missouri,Worth,2171,2042
Iowa,Wright,13229,12841
Minnesota,Wright,124700,130973
Missouri,Wright,18815,18146
New York,Wyoming,42155,40930
Pennsylvania,Wyoming,28276,27812
West Virginia,Wyoming,23796,22177
Maine,York,197131,201223
Nebraska,York,13665,13797
Pennsylvania,York,434972,441741
South Carolina,York,226073,250566
Virginia,York,65464,67802
Arizona,Yuma,195751,205186
Colorado,Yuma,10043,10037
South Carolina,Abbeville,25417,24796
Louisiana,Acadia,61773,62679
Virginia,Accomack,33164,32914
Idaho,Ada,392365,432862
Vermont,Addison,36821,36929
South Carolina,Aiken,160099,165688
Minnesota,Aitkin,16202,15852
Florida,Alachua,247336,259052
North Carolina,Alamance,151131,157037
California,Alameda,1510271,1634538
Colorado,Alamosa,15445,15894
Virginia,Albemarle,98970,105117
Michigan,Alcona,10942,10330
Mississippi,Alcorn,37057,37276
Alaska,Aleutians East,3141,3373
Alaska,Aleutians West,5561,5781
Virginia,Alexandria City,139966,153654
Oklahoma,Alfalfa,5642,5917
Michigan,Alger,9601,9255
Iowa,Allamakee,14330,13874
Michigan,Allegan,111408,114112
Pennsylvania,Allegheny,1223348,1228827
South Carolina,Allendale,10419,9430
Michigan,Alpena,29598,28722
California,Alpine,1175,1077
California,Amador,38091,37031
Virginia,Amelia,12690,12784
Virginia,Amherst,32353,31836
Mississippi,Amite,13131,12553
Alaska,Anchorage Municipality,291826,297547
Missouri,Andrew,17291,17314
Texas,Andrews,14786,18072
Maine,Androscoggin,107702,107124
Texas,Angelina,86771,87829
Maryland,Anne Arundel,537656,563027
Minnesota,Anoka,330844,344176
North Carolina,Anson,26948,25602
Nebraska,Antelope,6685,6415
Michigan,Antrim,23580,23035
Arizona,Apache,71518,71012
Iowa,Appanoose,12887,12577
Georgia,Appling,18236,18423
Virginia,Appomattox,14973,15492
Texas,Aransas,23158,24800
Colorado,Arapahoe,572003,630984
Texas,Archer,9054,8763
Colorado,Archuleta,12084,12387
Michigan,Arenac,15899,15307
Virginia,Arlington,207627,228548
Maine,Aroostook,71870,68818
Nebraska,Arthur,460,451
Louisiana,Ascension,107215,119374
North Carolina,Ashe,27281,26628
Arkansas,Ashley,21853,20838
Ohio,Ashtabula,101497,98404
Washington,Asotin,21623,22113
Louisiana,Assumption,23421,22898
Texas,Atascosa,44911,48363
Ohio,Athens,64757,65886
Georgia,Atkinson,8375,8340
New Jersey,Atlantic,274549,270153
Oklahoma,Atoka,14182,13889
Mississippi,Attala,19564,18665
Missouri,Audrain,25529,25950
Iowa,Audubon,6119,5711
Ohio,Auglaize,45949,45734
Virginia,Augusta,73750,74292
South Dakota,Aurora,2710,2744
Texas,Austin,28417,29471
Alabama,Autauga,54571,54864
North Carolina,Avery,17797,17486
Louisiana,Avoyelles,42073,40979
Colorado,Baca,3788,3555
Georgia,Bacon,11096,11231
Texas,Bailey,7165,7223
Kentucky,Ballard,8249,8216
South Carolina,Bamberg,15987,14682
Texas,Bandera,20485,21144
Georgia,Banks,18395,18381
Nebraska,Banner,690,711
Idaho,Bannock,82839,84184
Michigan,Baraga,8860,8585
Kansas,Barber,4861,4824
North Dakota,Barnes,11066,11008
Massachusetts,Barnstable,215888,213877
South Carolina,Barnwell,22621,21781
Kentucky,Barren,42173,43546
Wisconsin,Barron,45870,45367
Georgia,Barrow,69367,74979
Indiana,Bartholomew,76794,81458
Georgia,Bartow,100157,102043
Texas,Bastrop,74171,80115
Missouri,Bates,17049,16362
Arkansas,Baxter,41513,41138
Wisconsin,Bayfield,15014,14976
Texas,Baylor,3726,3609
South Dakota,Beadle,17398,18127
Idaho,Bear Lake,5986,5879
Louisiana,Beauregard,35654,36531
Montana,Beaverhead,9246,9295
Minnesota,Becker,32504,33445
Oklahoma,Beckham,22119,23554
Texas,Bee,31861,32617
New Hampshire,Belknap,60088,60370
Ohio,Belmont,70400,68973
Minnesota,Beltrami,44442,45605
Georgia,Ben Hill,17634,17357
Idaho,Benewah,9285,8996
South Dakota,Bennett,3431,3402
Vermont,Bennington,37125,36153
North Dakota,Benson,6660,6820
Colorado,Bent,6499,5889
Michigan,Benzie,17525,17390
New Jersey,Bergen,905116,926391
Pennsylvania,Berks,411442,415138
Massachusetts,Berkshire,131219,127858
New Mexico,Bernalillo,662564,676248
North Carolina,Bertie,21282,20162
Alaska,Bethel,17013,17955
Texas,Bexar,1714773,1894834
Louisiana,Bienville,14353,13823
Minnesota,Big Stone,5269,4993
North Dakota,Billings,783,948
Idaho,Bingham,45607,45057
Iowa,Black Hawk,131090,133701
Indiana,Blackford,12766,12242
North Carolina,Bladen,35190,34083
Pennsylvania,Blair,127089,124596
Texas,Blanco,10497,11029
Virginia,Bland,6824,6532
Georgia,Bleckley,13063,12714
Tennessee,Bledsoe,12876,14601
Minnesota,Blue Earth,64013,65673
Idaho,Boise,7028,6963
Mississippi,Bolivar,34145,33230
Missouri,Bollinger,12363,12316
South Dakota,Bon Homme,7070,6943
Illinois,Bond,17768,16686
Idaho,Bonner,40877,41600
Idaho,Bonneville,104234,109849
Texas,Borden,641,655
Texas,Bosque,18212,17864
Louisiana,Bossier,116979,125554
Virginia,Botetourt,33148,33380
North Dakota,Bottineau,6429,6734
Colorado,Boulder,294567,318027
Idaho,Boundary,10972,11299
Texas,Bowie,92565,93050
North Dakota,Bowman,3151,3277
Nebraska,Box Butte,11308,11325
Utah,Box Elder,49975,51826
Kentucky,Boyle,28432,29782
Kentucky,Bracken,8488,8290
Michigan,Branch,45248,43639
Georgia,Brantley,18411,18437
West Virginia,Braxton,14523,14375
Texas,Brazoria,313166,345227
Texas,Brazos,194851,216258
Kentucky,Breathitt,13878,13363
Kentucky,Breckinridge,20059,19979
Iowa,Bremer,24276,24746
Florida,Brevard,543376,565746
Texas,Brewster,9232,9143
Texas,Briscoe,1637,1514
Alaska,Bristol Bay,997,904
Virginia,Bristol City,17835,17146
Montana,Broadwater,5612,5714
New York,Bronx,1385108,1440005
West Virginia,Brooke,24069,23190
South Dakota,Brookings,31965,33800
New York,Broome,200600,195928
Colorado,Broomfield,55889,64866
Florida,Broward,1748066,1885040
South Dakota,Brule,5255,5243
Virginia,Buckingham,17146,17017
Pennsylvania,Bucks,625249,625276
Kentucky,Bullitt,74319,78677
Georgia,Bulloch,70217,73116
Alabama,Bullock,10914,10400
North Carolina,Buncombe,238318,251954
Illinois,Bureau,34978,33491
North Dakota,Burleigh,81308,93211
Texas,Burleson,17187,17611
New Jersey,Burlington,448734,446832
Texas,Burnet,42750,44734
Wisconsin,Burnett,15457,15142
Nebraska,Burt,6858,6538
Georgia,Butts,23655,23520
North Carolina,Cabarrus,178011,196396
West Virginia,Cabell,96319,96582
Utah,Cache,112656,119697
California,Calaveras,45578,44965
Louisiana,Calcasieu,192768,198450
Vermont,Caledonia,31227,30645
Texas,Callahan,13544,13589
Missouri,Callaway,44332,44699
Kentucky,Calloway,37191,38656
Wisconsin,Calumet,48971,49818
Maryland,Calvert,88737,90477
Idaho,Camas,1117,1070
Pennsylvania,Cambria,143679,136028
Texas,Camp,12401,12699
Oklahoma,Canadian,115541,133158
Georgia,Candler,10998,10873
Tennessee,Cannon,13801,13740
Idaho,Canyon,188923,206842
Missouri,Cape Girardeau,75674,78238
New Jersey,Cape May,97265,94160
Idaho,Caribou,6963,6733
Kentucky,Carlisle,5104,4852
Minnesota,Carlton,35386,35409
Texas,Carson,6182,6013
Nevada,Carson City,55274,54068
North Carolina,Carteret,66469,68712
Minnesota,Carver,91042,98630
Montana,Cascade,81327,81878
Kentucky,Casey,15955,15749
Idaho,Cassia,22952,23499
Texas,Castro,8062,7787
North Carolina,Caswell,23719,22813
Louisiana,Catahoula,10407,10029
North Carolina,Catawba,154358,155527
Georgia,Catoosa,63942,65778
New Mexico,Catron,3725,3476
New York,Cattaraugus,80317,77926
North Dakota,Cavalier,3993,3827
New York,Cayuga,80026,78298
Maryland,Cecil,101108,102382
Pennsylvania,Centre,153990,160466
Iowa,Cerro Gordo,44151,42983
Colorado,Chaffee,17809,18612
Missouri,Chariton,7831,7576
Maryland,Charles,146551,155665
Virginia,Charles City,7256,7046
South Dakota,Charles Mix,9129,9360
South Carolina,Charleston,350209,389310
Michigan,Charlevoix,25949,26210
Virginia,Charlottesville City,43475,46301
Georgia,Charlton,12171,13239
Georgia,Chattahoochee,11267,11042
Georgia,Chattooga,26015,24905
New Mexico,Chaves,65645,65825
Tennessee,Cheatham,39105,39593
Michigan,Cheboygan,26152,25399
Washington,Chelan,72453,75041
New York,Chemung,88830,86705
New York,Chenango,50477,48772
Nebraska,Cherry,5713,5824
Virginia,Chesapeake City,222209,235111
New Hampshire,Cheshire,77117,76288
Arkansas,Chicot,11800,10970
Texas,Childress,7041,7169
Alabama,Chilton,43643,43700
Minnesota,Chisago,53887,54129
Vermont,Chittenden,156545,161293
Montana,Chouteau,5813,5774
North Carolina,Chowan,14793,14248
Nevada,Churchill,24877,23957
New Mexico,Cibola,27213,27044
Oklahoma,Cimarron,2475,2225
Florida,Citrus,141236,140287
Oregon,Clackamas,375992,399647
Washington,Clallam,71404,73202
Michigan,Clare,30926,30616
South Carolina,Clarendon,34971,34029
Pennsylvania,Clarion,39988,38876
Oregon,Clatsop,37039,37797
Colorado,Clear Creek,9088,9244
Pennsylvania,Clearfield,81642,80718
Ohio,Clermont,197363,201995
Georgia,Clinch,6798,6826
Kansas,Cloud,9533,9188
Mississippi,Coahoma,26151,24500
Oklahoma,Coal,5925,5608
Georgia,Cobb,688078,739052
Arizona,Cochise,131346,126454
Texas,Cochran,3127,2977
Tennessee,Cocke,35662,35138
Arizona,Coconino,134421,138962
South Dakota,Codington,27227,27899
Kansas,Coffey,8601,8291
Texas,Coke,3320,3227
Alabama,Colbert,54428,54417
Missouri,Cole,75990,76818
Texas,Coleman,8895,8316
Illinois,Coles,53873,52179
South Carolina,Colleton,38892,37439
Florida,Collier,321520,356041
Texas,Collin,782341,915243
Texas,Collingsworth,3057,3010
Virginia,Colonial Heights,17411,17444
Georgia,Colquitt,45498,45466
Ohio,Columbiana,107841,104714
North Carolina,Columbus,58098,56675
California,Colusa,21419,21231
Texas,Comal,108472,128795
Texas,Concho,4087,4072
Louisiana,Concordia,20822,20228
Alabama,Conecuh,13228,12678
Colorado,Conejos,8256,8065
California,Contra Costa,1049025,1124405
Wyoming,Converse,13833,14297
Arkansas,Conway,21273,20936
Texas,Cooke,38437,39170
Missouri,Cooper,17601,17614
Alabama,Coosa,11539,10934
Mississippi,Copiah,29449,28865
South Dakota,Corson,4050,4175
New York,Cortland,49336,48290
Texas,Coryell,75388,76145
Ohio,Coshocton,36901,36577
Colorado,Costilla,3524,3576
Texas,Cottle,1505,1439
Oklahoma,Cotton,6193,6006
Minnesota,Cottonwood,11687,11422
Virginia,Covington City,5961,5663
Georgia,Coweta,127317,138145
Kansas,Cowley,36311,35752
Washington,Cowlitz,102410,102999
Arkansas,Craighead,96443,104457
Texas,Crane,4375,4995
North Carolina,Craven,103505,102853
Oklahoma,Creek,69967,70801
Alabama,Crenshaw,13906,13850
Georgia,Crisp,23439,22959
Texas,Crosby,6059,5918
Arkansas,Cross,17870,17255
Minnesota,Crow Wing,62500,63229
Colorado,Crowley,5823,5628
Texas,Culberson,2398,2254
Alabama,Cullman,80406,81761
Virginia,Culpeper,46689,49551
Nebraska,Cuming,9139,9075
North Carolina,Currituck,23547,25106
Ohio,Cuyahoga,1280122,1258739
Utah,Daggett,1059,1107
Alabama,Dale,50251,49365
Texas,Dallam,6703,7301
Wisconsin,Dane,488073,523000
Montana,Daniels,1751,1750
Virginia,Danville City,43055,41947
North Carolina,Dare,33920,35468
Ohio,Darke,52959,51981
South Carolina,Darlington,68681,67520
Pennsylvania,Dauphin,268100,273085
North Carolina,Davie,41240,41648
South Dakota,Davison,19504,19916
Nebraska,Dawes,9182,8958
South Dakota,Day,5710,5496
New Mexico,De Baca,2022,1873
Louisiana,De Soto,26656,27101
Illinois,De Witt,16561,16184
Texas,Deaf Smith,19372,18825
Indiana,Dearborn,50047,49455
Montana,Deer Lodge,9298,9102
Ohio,Defiance,39037,38326
California,Del Norte,28610,27190
Alaska,Denali,1826,1933
Missouri,Dent,15657,15656
Texas,Denton,662614,779584
Colorado,Denver,600158,683285
Iowa,Des Moines,40325,39874
Oregon,Deschutes,157733,174246
Arkansas,Desha,13008,12029
Texas,DeWitt,20097,20632
Texas,Dickens,2444,2204
Virginia,Dickenson,15903,15201
North Dakota,Dickey,5289,5054
Tennessee,Dickson,49666,51334
Alaska,Dillingham,4847,4988
South Carolina,Dillon,32062,31141
Texas,Dimmit,9996,10910
Virginia,Dinwiddie,28001,28148
District of Columbia,District of Columbia,601723,675400
North Dakota,Divide,2071,2459
Florida,Dixie,16422,16353
Nebraska,Dixon,6000,5769
West Virginia,Doddridge,8202,8703
Colorado,Dolores,2064,1981
Kansas,Doniphan,7945,7788
Texas,Donley,3677,3391
New Mexico,Doa Ana,209233,214034
Georgia,Dooly,14918,14034
Wisconsin,Door,27785,27311
Georgia,Dougherty,94565,91513
Arkansas,Drew,18509,18613
Indiana,Dubois,41889,42317
Iowa,Dubuque,93653,96850
Utah,Duchesne,18607,20748
Massachusetts,Dukes,16535,17274
Nebraska,Dundy,2008,1770
Missouri,Dunklin,31953,30844
Illinois,DuPage,916924,933609
North Carolina,Duplin,58505,58883
North Carolina,Durham,267587,300793
New York,Dutchess,297488,294039
Tennessee,Dyer,38335,37753
Colorado,Eagle,52197,53865
Georgia,Early,11008,10462
Louisiana,East Baton Rouge,440171,445512
Louisiana,East Carroll,7759,7277
Louisiana,East Feliciana,20267,19540
Texas,Eastland,18583,18152
Michigan,Eaton,107759,108661
Wisconsin,Eau Claire,98736,102080
Georgia,Echols,4034,4030
Texas,Ector,137130,159903
Illinois,Edgar,18576,17603
North Carolina,Edgecombe,56552,53743
South Carolina,Edgefield,26985,26782
Kentucky,Edmonson,12161,11991
South Dakota,Edmunds,4071,3996
California,El Dorado,181058,184569
Indiana,Elkhart,197559,202995
Nevada,Elko,48818,51728
Kentucky,Elliott,7852,7548
Kansas,Ellsworth,6497,6302
Georgia,Emanuel,22598,22471
Utah,Emery,10976,10359
North Dakota,Emmons,3550,3397
Virginia,Emporia City,5927,5558
Texas,Erath,37890,41191
Nevada,Esmeralda,783,830
Kentucky,Estill,14672,14373
Alabama,Etowah,104430,102998
Nevada,Eureka,1987,2029
Louisiana,Evangeline,33984,33724
Georgia,Evans,11000,10690
Alaska,Fairbanks North Star,97581,99636
Virginia,Fairfax,1081726,1140401
Virginia,Fairfax City,22565,23230
South Dakota,Fall River,7094,6800
Montana,Fallon,2890,3171
Texas,Falls,17866,17216
Virginia,Falls Church,12332,13728
Minnesota,Faribault,14553,13981
South Dakota,Faulk,2364,2307
Arkansas,Faulkner,113237,121241
Virginia,Fauquier,65203,68423
Tennessee,Fentress,17959,17965
Montana,Fergus,11586,11307
Washington,Ferry,7551,7520
Kansas,Finney,36776,37148
Texas,Fisher,3974,3877
Florida,Flagler,95696,104436
Montana,Flathead,90928,95839
Kentucky,Fleming,14348,14578
Virginia,Fluvanna,25691,26133
Texas,Foard,1336,1225
Wisconsin,Fond du Lac,101633,101955
Mississippi,Forrest,74934,75593
Texas,Fort Bend,585375,715331
North Dakota,Foster,3343,3325
Indiana,Fountain,17240,16537
Virginia,Franklin City,8582,8331
Virginia,Fredericksburg City,24286,28043
Minnesota,Freeborn,31255,30522
Texas,Freestone,19816,19746
California,Fresno,930450,969488
Texas,Frio,17217,19361
Nebraska,Frontier,2756,2631
Nebraska,Furnas,4959,4831
Florida,Gadsden,46389,46060
Nebraska,Gage,22311,21715
Texas,Gaines,17526,20217
Virginia,Galax City,7042,6800
Ohio,Gallia,30934,30249
Texas,Galveston,291309,320974
Nebraska,Garden,2057,1916
Arkansas,Garland,96024,97814
Kentucky,Garrard,16912,17207
Maryland,Garrett,30097,29426
Oklahoma,Garvin,27576,27920
Texas,Garza,6461,6391
Missouri,Gasconade,15222,14742
North Carolina,Gaston,206086,212919
North Carolina,Gates,12197,11531
Kansas,Geary,34362,36681
Ohio,Geauga,93389,93894
Idaho,Gem,16719,16685
Alabama,Geneva,26790,26631
Missouri,Gentry,6738,6654
Mississippi,George,22578,23378
South Carolina,Georgetown,60158,61456
Arizona,Gila,53597,52978
Florida,Gilchrist,16939,17378
Texas,Gillespie,24837,25916
Oregon,Gilliam,1871,1868
Colorado,Gilpin,5441,5805
Montana,Glacier,13399,13636
Florida,Glades,12884,13099
Michigan,Gladwin,25692,25227
Georgia,Glascock,3082,3020
Texas,Glasscock,1226,1380
California,Glenn,28122,27753
Georgia,Glynn,79626,83311
Michigan,Gogebic,16427,15536
Texas,Goliad,7210,7513
Texas,Gonzales,19807,20510
Virginia,Goochland,21717,22165
Minnesota,Goodhue,46183,46060
Idaho,Gooding,15464,15188
Georgia,Gordon,55186,56324
Wyoming,Goshen,13249,13542
Nebraska,Gosper,2044,2025
Kansas,Gove,2695,2698
New Hampshire,Grafton,89118,89439
Tennessee,Grainger,22657,22848
North Dakota,Grand Forks,66861,70352
Vermont,Grand Isle,6970,6871
Michigan,Grand Traverse,86986,91541
Montana,Granite,3079,3163
North Carolina,Granville,59916,58162
Michigan,Gratiot,42476,41331
Kentucky,Graves,37121,37248
Washington,Grays Harbor,72797,71011
Wisconsin,Green Lake,19051,18698
West Virginia,Greenbrier,35480,35580
Arizona,Greenlee,8437,9577
Virginia,Greensville,12243,11786
Kentucky,Greenup,36910,36006
South Carolina,Greenville,451225,490900
Oklahoma,Greer,6239,6031
Texas,Gregg,121730,123800
South Dakota,Gregory,4271,4192
Mississippi,Grenada,21906,21444
North Dakota,Griggs,2420,2288
Texas,Grimes,26604,27299
Ohio,Guernsey,40087,39392
North Carolina,Guilford,488406,517053
Florida,Gulf,15863,15929
Colorado,Gunnison,15324,16104
Iowa,Guthrie,10954,10649
Georgia,Gwinnett,805321,888494
South Dakota,Haakon,1937,1850
Georgia,Habersham,43041,43792
Alaska,Haines,2508,2516
Tennessee,Hamblen,62544,63353
South Dakota,Hamlin,5903,5976
Massachusetts,Hampden,463490,469113
South Carolina,Hampton,21090,19963
Virginia,Hampton City,137436,136264
South Dakota,Hand,3431,3306
Virginia,Hanover,99863,103071
Texas,Hansford,5613,5654
South Dakota,Hanson,3331,3387
Georgia,Haralson,28780,28702
Florida,Hardee,27731,27177
West Virginia,Hardy,14025,13826
Maryland,Harford,244826,249558
Oklahoma,Harmon,2922,2782
North Carolina,Harnett,114678,128034
Oregon,Harney,7422,7150
Virginia,Harrisonburg City,48914,52675
Connecticut,Hartford,894014,896290
Texas,Hartley,6062,5702
Kansas,Harvey,34684,34802
Tennessee,Hawkins,56833,56370
Nebraska,Hayes,967,915
Texas,Hays,157107,194662
Georgia,Heard,11834,11556
Texas,Hemphill,3807,4277
Arkansas,Hempstead,22609,22085
Indiana,Hendricks,145448,157776
Florida,Hendry,39140,39248
Minnesota,Hennepin,1152425,1222200
Virginia,Henrico,306935,324375
New York,Herkimer,64519,62652
Florida,Hernando,172778,177900
North Carolina,Hertford,24669,24373
North Dakota,Hettinger,2477,2657
Missouri,Hickory,9627,9266
Florida,Highlands,98786,100137
Michigan,Hillsdale,46688,45883
Mississippi,Hinds,245285,244216
Colorado,Hinsdale,843,764
Nebraska,Hitchcock,2908,2879
Ohio,Hocking,29380,28500
Texas,Hockley,22935,23310
Kansas,Hodgeman,1916,1869
North Carolina,Hoke,46952,52739
Hawaii,Honolulu,953207,991064
Texas,Hood,51182,55227
Oregon,Hood River,22346,22927
Nebraska,Hooker,736,714
Alaska,Hoonah-Angoon,2150,2132
Virginia,Hopewell City,22591,22231
South Carolina,Horry,269291,308987
Arkansas,Hot Spring,32923,33497
Wyoming,Hot Springs,4812,4716
Michigan,Houghton,36628,36228
Missouri,Howell,40400,40070
Minnesota,Hubbard,20428,20646
New Jersey,Hudson,634266,664492
Texas,Hudspeth,3476,3541
Colorado,Huerfano,6711,6404
Texas,Hunt,86129,89670
New Jersey,Hunterdon,128349,125452
Pennsylvania,Huntingdon,45913,45499
Indiana,Huntington,37124,36518
Louisiana,Iberia,73240,73747
Louisiana,Iberville,33387,33136
Iowa,Ida,7089,6968
California,Imperial,174528,178937
Arkansas,Independence,36647,37035
Florida,Indian River,138028,147434
Michigan,Ingham,280895,287096
California,Inyo,18546,18108
Michigan,Ionia,63905,64056
Michigan,Iosco,25887,25343
North Carolina,Iredell,159437,169453
Texas,Irion,1599,1543
Illinois,Iroquois,29718,28522
Georgia,Irwin,9538,9135
Michigan,Isabella,70311,70767
Minnesota,Isanti,37816,38281
Washington,Island,78506,80022
Virginia,Isle of Wight,35270,36159
Mississippi,Issaquena,1406,1337
Minnesota,Itasca,45058,45267
Mississippi,Itawamba,23401,23543
Arkansas,Izard,13696,13487
Texas,Jack,9044,8883
Virginia,James City,67009,72819
Indiana,Jay,21253,21137
Georgia,Jenkins,8340,8899
Indiana,Jennings,28525,27834
South Dakota,Jerauld,2071,2018
Idaho,Jerome,22374,22971
Illinois,Jersey,22985,22260
Kentucky,Jessamine,48586,51809
Kansas,Jewell,3077,2963
Texas,Jim Hogg,5300,5296
Texas,Jim Wells,40838,41523
Illinois,Jo Daviess,22678,22066
Oregon,Josephine,82713,84528
Utah,Juab,10246,10551
Montana,Judith Basin,2072,1931
Pennsylvania,Juniata,24636,24445
Michigan,Kalamazoo,250331,259676
Hawaii,Kalawao,90,88
